"""LOCATION";"""INDICATOR""";"""SUBJECT""";"""MEASURE""";"""FREQUENCY""";"""TIME""";"""Value""";"""Flag Codes"""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-07""";998.308;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-08""";9.970.207;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-09""";9.961.957;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-10""";9.953.222;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-11""";9.953.001;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1991-12""";9.954.978;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-01""";9.953.638;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-02""";9.951.831;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-03""";9.955.756;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-04""";9.965.636;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-05""";9.984.509;""""
"""NLD";"""CCI""";"""AMPLITUD""";"""LTRENDIDX""";"""M""";"""1992-06""";1.001.153;""""
